timestamp,rnti,dl_bytes,ul_bytes,mcs_ul,nprb,snr,bler
2026-04-29T14:36:56.366326,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:36:56.990905,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:36:56.991109,f055,0,394,0,5,43.0,0.00000
2026-04-29T14:36:56.990464,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:36:56.990507,f055,0,394,0,5,43.0,0.00000
2026-04-29T14:36:57.617934,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:36:57.617981,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:57.617568,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:36:57.617792,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:58.252724,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:58.252810,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:58.252455,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:36:58.252674,f055,0,394,0,5,51.0,0.00000
2026-04-29T14:36:58.877012,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:58.877058,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:58.876148,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:58.876279,f055,0,394,0,5,30.0,0.00000
2026-04-29T14:36:59.502797,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:59.503002,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:36:59.503150,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:36:59.503366,f055,0,394,0,5,36.0,0.00000
2026-04-29T14:37:00.145706,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:37:00.145752,f055,55,397,0,5,51.0,0.00000
2026-04-29T14:37:00.146182,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:37:00.147145,f055,55,397,0,5,51.0,0.00000
2026-04-29T14:37:00.772076,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:37:00.772170,f055,0,397,0,5,30.0,0.00000
2026-04-29T14:37:00.772359,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:37:00.772632,f055,0,397,0,5,30.0,0.00000
2026-04-29T14:37:01.416911,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:37:01.416956,f055,0,397,0,5,36.0,0.00000
2026-04-29T14:37:01.416702,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:37:01.416754,f055,0,397,0,5,36.0,0.00000
2026-04-29T14:37:02.045608,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:02.046918,f055,0,397,0,5,43.0,0.00000
2026-04-29T14:37:02.045461,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:02.045508,f055,0,397,0,5,43.0,0.00000
2026-04-29T14:37:02.678800,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:02.678846,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:02.679434,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:02.679718,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:03.320207,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:37:03.320335,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:03.319923,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:37:03.320141,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:03.953417,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:37:03.953661,f055,0,397,0,5,30.0,0.00000
2026-04-29T14:37:03.953192,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:37:03.953750,f055,0,397,0,5,30.0,0.00000
2026-04-29T14:37:04.618779,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:37:04.619018,f055,0,397,0,5,36.0,0.00000
2026-04-29T14:37:04.618662,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:37:04.618706,f055,0,397,0,5,36.0,0.00000
2026-04-29T14:37:05.246212,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:05.246271,f055,0,397,0,5,43.0,0.00000
2026-04-29T14:37:05.249927,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:05.250578,f055,0,397,0,5,43.0,0.00000
2026-04-29T14:37:05.864973,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:05.865186,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:05.864503,6584,0,393,0,5,51.0,0.00000
2026-04-29T14:37:05.865136,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:06.485700,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:37:06.485899,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:06.486061,6584,0,393,0,5,30.0,0.00000
2026-04-29T14:37:06.487053,f055,0,397,0,5,51.0,0.00000
2026-04-29T14:37:07.122452,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:37:07.122497,f055,0,397,0,5,30.0,0.00000
2026-04-29T14:37:07.122064,6584,0,393,0,5,36.0,0.00000
2026-04-29T14:37:07.122188,f055,0,397,0,5,30.0,0.00000
2026-04-29T14:37:07.765795,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:37:07.767190,f055,0,397,0,5,36.0,0.00000
2026-04-29T14:37:07.764220,6584,0,393,0,5,43.0,0.00000
2026-04-29T14:37:07.764976,f055,0,397,0,5,36.0,0.00000
